Name,Area,Population,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Health expenditures,HIV/AIDS - adult prevalence rate,HIV/AIDS - people living with HIV/AIDS,HIV/AIDS - deaths,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Exchange Rate,Currency,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor Force,Unemployment rate,Distribution of family income,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Exports - partners,Exports - commodities,Imports,Imports - partners,Imports - commodities,Reserves of foreign exchange and gold,External debt,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Military expenditures,Airports,Railways,Roadways,Waterways,Merchant marine,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Telephones - fixed lines,Telephones - mobile cellular,Internet users
South Africa,"1,219,090 sq km","55,380,210",0.97%,"19.9 births/1,000 population","9.3 deaths/1,000 population","-0.9 migrant(s)/1,000 population","138 deaths/100,000 live births","29.9 deaths/1,000 live births",64.1 years,2.26 children born/woman,8.8% of GDP,18.80%,7.2 million,"110,000",28.30%,5.90%,5.9% of GDP,53.50%,13.67,rand (ZAR) per US dollar -,$767.2 billion,1.30%,"$13,600 ",16.1% of GDP,1.20%,22.19 million,27.50%,62.5,26.6% (of GDP),-4.4% (of GDP),53% of GDP,5.30%,5.75%,10.38%,$137.5 billion,$137.5 billion,$295.9 billion,$735.9 billion,-$8.584 billion,$94.93 billion,"China 9.5%, US 7.7%, Germany 7.1%, Japan 4.7%, India 4.6%, Botswana 4.3%, Namibia 4.1%(2017)","gold, diamonds, platinum, other metals and minerals, machinery and equipment",$89.36 billion,"China 18.3%, Germany 11.9%, US 6.6%, Saudi Arabia 4.7%, India 4.7%(2017)","machinery and equipment, chemicals, petroleum products, scientific instruments, foodstuffs",$50.72 billion,$156.3 billion,$156.8 billion,$270.3 billion,1.07% of GDP,566,"20,986 km","747,014 km",-,82,234.5 billion kWh,207.1 billion kWh,16.55 billion kWh,10.56 billion kWh,50.02 million kW,85% of total installed capacity,4% of total installed capacity,1% of total installed capacity,10% of total installed capacity,"2,000 bbl/day",0 bbl/day,"404,000 bbl/day",15 million bbl,"487,100 bbl/day","621,000 bbl/day","105,600 bbl/day","195,200 bbl/day",906.1 million cu m,5.069 billion cu m,0 cu m,4.162 billion cu m,0 cu m,"3,629,141","91,878,275","29,322,380"
Senegal,"196,722 sq km","15,020,945",2.36%,"32.9 births/1,000 population","7.9 deaths/1,000 population","-1.5 migrant(s)/1,000 population","315 deaths/100,000 live births","48 deaths/1,000 live births",62.5 years,4.2 children born/woman,4.7% of GDP,0.40%,"43,000","2,100",8.80%,13.50%,7.1% of GDP,5.30%,617.4,Communaute Financiere Africaine francs (XOF) per US dollar -,$54.8 billion,7.20%,"$3,500 ",21.2% of GDP,7.70%,6.966 million,48%,40.3,19.6% (of GDP),-3.6% (of GDP),48.3% of GDP,1.30%,0.25%,5.40%,$5.944 billion,$5.944 billion,$6.695 billion,-,-$1.547 billion,$2.362 billion,"Mali 14.8%, Switzerland 11.4%, India 6%, Cote dIvoire 5.3%, UAE 5.1%, Gambia, The 4.2%, Spain 4.1%(2017)","fish, groundnuts (peanuts), petroleum products, phosphates, cotton",$5.217 billion,"France 16.3%, China 10.4%, Nigeria 8%, India 7.2%, Netherlands 4.8%, Spain 4.2%(2017)","food and beverages, capital goods, fuels",$1.827 billion,$8.571 billion,-,-,1.89% of GDP,20,906 km,"16,496 km","1,000 km",26,4.167 billion kWh,3.497 billion kWh,0 kWh,0 kWh,"977,000 kW",82% of total installed capacity,0% of total installed capacity,7% of total installed capacity,11% of total installed capacity,0 bbl/day,0 bbl/day,"17,880 bbl/day",0 bbl,"17,590 bbl/day","48,000 bbl/day","4,063 bbl/day","32,050 bbl/day",59.46 million cu m,59.46 million cu m,0 cu m,0 cu m,0 cu m,"290,636","15,758,366","3,675,209"
"Saint Helena, Ascension, and Tristan da Cunha",394 sq km,"7,841",0.14%,"9.4 births/1,000 population","8 deaths/1,000 population","0 migrant(s)/1,000 population",-,"12.8 deaths/1,000 live births",79.8 years,1.59 children born/woman,-,-,-,-,-,-,-,-,0.7836,Saint Helenian pounds (SHP) per US dollar -,$31.1 million,-,"$7,800 ",-,-,"2,486",14%,-,-,-,-,4%,-,-,-,-,-,-,-,$19 million,-,"fish (frozen, canned, and salt-dried skipjack, tuna), coffee, handicrafts",$20.53 million,-,"food, beverages, tobacco, fuel oils, animal feed, building materials, motor vehicles and parts, machinery and parts",-,-,-,-,-,2,-,198 km,-,-,7 million kWh,6.51 million kWh,0 kWh,0 kWh,"8,000 kW",100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,70 bbl/day,0 bbl/day,65 bbl/day,0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,576,"3,018","1,800"
Slovenia,"20,273 sq km","2,102,126",0.03%,"9.2 births/1,000 population","9.9 deaths/1,000 population","0.4 migrant(s)/1,000 population","9 deaths/100,000 live births","1.6 deaths/1,000 live births",81.2 years,1.58 children born/woman,9.2% of GDP,-,-,-,20.20%,-,5.3% of GDP,15.20%,0.885,euros (EUR) per US dollar -,$71.23 billion,5%,"$34,500 ",26.4% of GDP,8.60%,"959,000",6.60%,24.4,43.1% (of GDP),0% (of GDP),73.6% of GDP,1.40%,0%,2.59%,$21.53 billion,$21.53 billion,$35.34 billion,$6.328 billion,$3.475 billion,$32.14 billion,"Germany 18.9%, Italy 10.7%, Austria 7.4%, Croatia 7.1%, France 4.8%, Poland 4.2%, Hungary 4.2%(2017)","manufactured goods, machinery and transport equipment, chemicals, food",$30.38 billion,"Germany 16.5%, Italy 13.5%, Austria 9.3%, Turkey 5.8%, Croatia 4.8%, China 4.5%(2017)","machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food",$889.9 million,$46.3 billion,$19.23 billion,$9.914 billion,0.98% of GDP,16,"1,229 km","38,985 km",-,7,15.46 billion kWh,13.4 billion kWh,7.972 billion kWh,8.359 billion kWh,3.536 million kW,37% of total installed capacity,20% of total installed capacity,34% of total installed capacity,9% of total installed capacity,5 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"52,140 bbl/day","29,350 bbl/day","93,060 bbl/day",8 million cu m,906.1 million cu m,2.832 million cu m,906.1 million cu m,-,"717,235","2,443,172","1,493,382"
Sierra Leone,"71,740 sq km","6,312,212",2.40%,"36 births/1,000 population","10.2 deaths/1,000 population","-2.1 migrant(s)/1,000 population","1,360 deaths/100,000 live births","66.7 deaths/1,000 live births",59 years,4.69 children born/woman,11.1% of GDP,1.40%,"61,000","2,600",8.70%,18.10%,2.9% of GDP,9.40%,"7,396.30",leones (SLL) per US dollar -,$11.55 billion,3.70%,"$1,600 ",10% of GDP,15.50%,2.972 million,15%,34,15.6% (of GDP),-7.9% (of GDP),63.9% of GDP,18.20%,-,17.92%,$387.4 million,$387.4 million,$572.6 million,-,-$407 million,$808.4 million,"Cote dIvoire 37.7%, Belgium 20.5%, US 15.7%, China 10.2%, Netherlands 6.1%(2017)","iron ore, diamonds, rutile, cocoa, coffee, fish",$1.107 billion,"China 11.5%, US 9.2%, Belgium 8.8%, UAE 7.7%, India 7.4%, Turkey 5.2%, Senegal 5.1%, Netherlands 4.3%(2017)","foodstuffs, machinery and equipment, fuels and lubricants, chemicals",$478 million,$1.615 billion,$1.042 billion,$56.8 billion,0.81% of GDP,8,-,"11,300 km",800 km,451,300 million kWh,279 million kWh,0 kWh,0 kWh,"113,300 kW",23% of total installed capacity,0% of total installed capacity,51% of total installed capacity,26% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"6,500 bbl/day",0 bbl/day,"6,439 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"17,000","6,279,270","708,615"
San Marino,61 sq km,"33,779",0.70%,"8.6 births/1,000 population","8.8 deaths/1,000 population","7.5 migrant(s)/1,000 population",-,"4.3 deaths/1,000 live births",83.4 years,1.51 children born/woman,6.1% of GDP,-,-,-,-,-,2.4% of GDP,27.40%,0.885,euros (EUR) per US dollar -,$2.064 billion,1.90%,"$59,000 ",-,-1.10%,"21,960",8.10%,-,40.6% (of GDP),-2.9% (of GDP),24.1% of GDP,1%,-,5.92%,$1.326 billion,$4.584 billion,$8.822 billion,-,$0 ,$3.827 billion,-,"building stone, lime, wood, chestnuts, wheat, wine, baked goods, hides, ceramics",$2.551 billion,-,"wide variety of consumer manufactures, food, energy",$392 million,-,-,-,-,-,-,292 km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,800","38,000","17,200"
Singapore,719.2 sq km,"5,995,991",1.79%,"8.7 births/1,000 population","3.5 deaths/1,000 population","13.1 migrant(s)/1,000 population","10 deaths/100,000 live births","2.3 deaths/1,000 live births",85.5 years,0.84 children born/woman,4.9% of GDP,0.20%,"7,600",-,6.10%,-,2.9% of GDP,9.10%,1.3,Singapore dollars (SGD) per US dollar -,$528.1 billion,3.60%,"$94,100 ",46.5% of GDP,5.70%,3.657 million,2.20%,45.9,15.7% (of GDP),-0.3% (of GDP),111.1% of GDP,0.60%,2.15%,5.28%,$137.4 billion,$137.4 billion,$471.2 billion,$809.4 billion,$60.99 billion,$396.8 billion,"China 14.7%, Hong Kong 12.6%, Malaysia 10.8%, US 6.6%, Indonesia 5.8%, Japan 4.7%, South Korea 4.6%, Thailand 4%(2017)","machinery and equipment (including electronics and telecommunications), pharmaceuticals and other chemicals, refined petroleum products, foodstuffs and beverages",$312.1 billion,"China 13.9%, Malaysia 12%, US 10.7%, Japan 6.3%, South Korea 5%(2017)","machinery and equipment, mineral fuels, chemicals, foodstuffs, consumer goods",$279.9 billion,$566.1 billion,$1.285 trillion,$841.4 billion,3.12% of GDP,9,-,"3,496 km",-,"3,558",48.66 billion kWh,47.69 billion kWh,0 kWh,0 kWh,13.35 million kW,98% of total installed capacity,0% of total installed capacity,0% of total installed capacity,2% of total installed capacity,0 bbl/day,"14,780 bbl/day","783,300 bbl/day",0 bbl,"755,000 bbl/day",1.322 million bbl/day,1.82 million bbl/day,2.335 million bbl/day,0 cu m,12.97 billion cu m,622.9 million cu m,13.48 billion cu m,0 cu m,"1,983,100","8,462,800","4,683,200"
Somalia,"637,657 sq km","11,259,029",2.08%,"39.3 births/1,000 population","12.8 deaths/1,000 population","-6.5 migrant(s)/1,000 population","732 deaths/100,000 live births","93 deaths/1,000 live births",53.2 years,5.7 children born/woman,-,0.10%,"11,000",-,8.30%,23%,-,-,"23,960",Somali shillings (SOS) per US dollar -,$20.44 billion,2.30%,-,-,3.50%,4.154 million,-,-,2.1% (of GDP),-0.1% (of GDP),76.7% of GDP,1.50%,-,-,-,-,-,-,-$464 million,$819 million,"Oman 31.7%, Saudi Arabia 18.7%, UAE 16.3%, Nigeria 5.1%, Yemen 4.8%, Pakistan 4%(2017)","livestock, bananas, hides, fish, charcoal, scrap metal",$94.43 billion,"China 17.6%, India 17.2%, Ethiopia 10.5%, Oman 10.3%, Kenya 6.9%, Turkey 5.3%, Malaysia 4.1%(2017)","manufactures, petroleum products, foodstuffs, construction materials, qat",$30.45 million,$5.3 billion,-,-,0% of GDP,61,-,"22,100 km",-,5,339 million kWh,315.3 million kWh,0 kWh,0 kWh,"85,000 kW",93% of total installed capacity,0% of total installed capacity,0% of total installed capacity,7% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"5,600 bbl/day",0 bbl/day,"5,590 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,5.663 billion cu m,"48,000","6,653,040","203,366"
Spain,"505,370 sq km","49,331,076",0.73%,"9 births/1,000 population","9.2 deaths/1,000 population","7.8 migrant(s)/1,000 population","5 deaths/100,000 live births","3.3 deaths/1,000 live births",81.8 years,1.5 children born/woman,9% of GDP,0.40%,"150,000",-,23.80%,-,4.3% of GDP,38.60%,0.885,euros (EUR) per US dollar -,$1.778 trillion,3%,"$38,400 ",23% of GDP,4%,22.75 million,17.20%,35.9,37.9% (of GDP),-3.1% (of GDP),98.4% of GDP,2%,0.05%,2.03%,$1.088 trillion,$1.088 trillion,$2.491 trillion,$787.2 billion,$24.74 billion,$313.7 billion,"France 15.1%, Germany 11.3%, Italy 7.8%, Portugal 7.1%, UK 6.9%, US 4.4%(2017)","machinery, motor vehicles; foodstuffs, pharmaceuticals, medicines, other consumer goods",$338.6 billion,"Germany 14.2%, France 11.9%, China 6.9%, Italy 6.8%, Netherlands 5.1%, UK 4%(2017)","machinery and equipment, fuels, chemicals, semi-finished goods, foodstuffs, consumer goods, measuring and medical control instruments",$69.41 billion,$2.094 trillion,$824.8 billion,$776.8 billion,0.93% of GDP,150,"16,102 km","683,175 km","1,000 km",472,258.6 billion kWh,239.5 billion kWh,14.18 billion kWh,21.85 billion kWh,105.9 million kW,47% of total installed capacity,7% of total installed capacity,14% of total installed capacity,32% of total installed capacity,"2,252 bbl/day",0 bbl/day,1.325 million bbl/day,150 million bbl,1.361 million bbl/day,1.296 million bbl/day,"562,400 bbl/day","464,800 bbl/day",36.81 million cu m,31.27 billion cu m,2.888 billion cu m,34.63 billion cu m,2.548 billion cu m,"19,680,973","52,484,655","39,123,384"
Saint Lucia,616 sq km,"165,510",0.31%,"13.1 births/1,000 population","7.8 deaths/1,000 population","-2.5 migrant(s)/1,000 population","48 deaths/100,000 live births","10.6 deaths/1,000 live births",78.1 years,1.74 children born/woman,6.7% of GDP,-,-,-,19.70%,2.80%,5.7% of GDP,46.20%,2.7,East Caribbean dollars (XCD) per US dollar -,$2.542 billion,3%,"$14,400 ",19.4% of GDP,6%,"79,700",20%,-,23.6% (of GDP),0.3% (of GDP),70.7% of GDP,0.10%,6.50%,8.34%,$334.2 million,$334.2 million,$1.267 billion,-,$21 million,$185.1 million,"US 67.6%, UK 5.9%, Trinidad and Tobago 5.5%(2017)","bananas 41%, clothing, cocoa, avocados, mangoes, coconut oil(2010 est.)",$600 million,"US 53.3%, Trinidad and Tobago 10.8%(2017)","food, manufactured goods, machinery and transportation equipment, chemicals, fuels",$321.8 million,$570.6 million,-,-,-,2,-,"1,210 km",-,-,369 million kWh,343.2 million kWh,0 kWh,0 kWh,"89,000 kW",99% of total installed capacity,0% of total installed capacity,0% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"3,100 bbl/day",0 bbl/day,"3,113 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"35,014","176,694","86,000"
Sudan,"1,861,484 sq km","43,120,843",2.93%,"34.2 births/1,000 population","6.7 deaths/1,000 population","-4.1 migrant(s)/1,000 population","311 deaths/100,000 live births","44.2 deaths/1,000 live births",65.8 years,4.85 children born/woman,8.4% of GDP,0.20%,"51,000","2,600",6.60%,33%,2.2% of GDP,20%,6.72,Sudanese pounds (SDG) per US dollar -,$177.4 billion,1.40%,"$4,300 ",12.1% of GDP,4.50%,11.92 million,19.60%,-,18.5% (of GDP),-10.6% (of GDP),121.6% of GDP,32.40%,-,13%,$18.82 billion,$18.82 billion,$28.7 billion,-,-$4.811 billion,$4.1 billion,"UAE 55.5%, Egypt 14.7%, Saudi Arabia 8.8%(2017)","gold; oil and petroleum products; cotton, sesame, livestock, peanuts, gum Arabic, sugar",$8.22 billion,"UAE 12.7%, Egypt 10.6%, India 10.5%, Turkey 10.2%, Japan 7.6%, Saudi Arabia 6%, Germany 4.6%(2017)","foodstuffs, manufactured goods, refinery and transport equipment, medicines, chemicals, textiles, wheat",$198 million,$56.05 billion,$25.47 billion,-,2.83% of GDP,74,"7,251 km","11,900 km","4,068 km",17,13.99 billion kWh,12.12 billion kWh,0 kWh,0 kWh,3.437 million kW,44% of total installed capacity,0% of total installed capacity,51% of total installed capacity,6% of total installed capacity,"102,300 bbl/day","19,540 bbl/day","9,440 bbl/day",5 billion bbl,"94,830 bbl/day","112,000 bbl/day","8,541 bbl/day","24,340 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,84.95 billion cu m,"143,280","28,644,139","10,284,260"
Svalbard,"62,045 sq km","2,583",-0.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.308,Norwegian kroner (NOK) per US dollar -,-,-,-,-,-,"1,590",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,"194,300 bbl/day","16,070 bbl/day",0 bbl/day,-,-,"80,250 bbl/day","4,488 bbl/day","18,600 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,-,-,-,-
Sweden,"450,295 sq km","10,040,995",0.80%,"12.1 births/1,000 population","9.4 deaths/1,000 population","5.3 migrant(s)/1,000 population","4 deaths/100,000 live births","2.6 deaths/1,000 live births",82.2 years,1.87 children born/woman,11.9% of GDP,0.20%,"11,000",-,20.60%,-,7.7% of GDP,17.90%,8.442,Swedish kronor (SEK) per US dollar -,$518 billion,2.10%,"$51,200 ",28.9% of GDP,4.10%,5.361 million,6.70%,24.9,50.6% (of GDP),1.3% (of GDP),40.8% of GDP,1.90%,-0.50%,1.93%,$329.2 billion,$329.2 billion,$929.1 billion,$560.5 billion,$17.79 billion,$165.6 billion,"Germany 11%, Norway 10.2%, Finland 6.9%, US 6.9%, Denmark 6.9%, UK 6.2%, Netherlands 5.5%, China 4.5%, Belgium 4.4%, France 4.2%(2017)","machinery (26%), motor vehicles, paper products, pulp and wood, iron and steel products, chemicals(2016 est.)",$153.2 billion,"Germany 18.7%, Netherlands 8.9%, Norway 7.7%, Denmark 7.2%, China 5.5%, UK 5.1%, Finland 4.7%, Belgium 4.7%(2017)","machinery, petroleum and petroleum products, chemicals, motor vehicles, iron and steel; foodstuffs, clothing",$62.22 billion,$939.9 billion,$458.2 billion,$523.5 billion,1% of GDP,231,"14,127 km","573,134 km","2,052 km",368,152.9 billion kWh,133.5 billion kWh,26.02 billion kWh,14.29 billion kWh,40.29 million kW,5% of total installed capacity,22% of total installed capacity,42% of total installed capacity,32% of total installed capacity,0 bbl/day,"14,570 bbl/day","400,200 bbl/day",0 bbl,"413,200 bbl/day","323,100 bbl/day","371,100 bbl/day","229,600 bbl/day",0 cu m,764.5 million cu m,0 cu m,764.5 million cu m,0 cu m,"2,794,418","12,435,709","9,041,427"
South Georgia and South Sandwich Islands,"3,903 sq km",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Syria,"185,180 sq km","19,454,263",7.37%,"20.7 births/1,000 population","4 deaths/1,000 population",-,"68 deaths/100,000 live births","14.4 deaths/1,000 live births",75.2 years,2.44 children born/woman,3.3% of GDP,-,-,-,27.80%,10.10%,5.1% of GDP,35.80%,514.6,Syrian pounds (SYP) per US dollar -,$50.28 billion,-36.50%,"$2,900 ",17% of GDP,4.30%,3.767 million,50%,-,4.2% (of GDP),-8.7% (of GDP),94.8% of GDP,28.10%,0.75%,14%,$7.272 billion,$7.272 billion,$9.161 billion,-,-$2.123 billion,$1.85 billion,"Lebanon 31.5%, Iraq 10.3%, Jordan 8.8%, China 7.8%, Turkey 7.5%, Spain 7.3%(2017)","crude oil, minerals, petroleum products, fruits and vegetables, cotton fiber, textiles, clothing, meat and live animals, wheat",$6.279 billion,"Russia 32.4%, Turkey 16.7%, China 9.5%(2017)","machinery and transport equipment, electric power machinery, food and livestock, metal and metal products, chemicals and chemical products, plastics, yarn, paper",$407.3 million,$4.989 billion,-,-,-,90,"2,052 km","69,873 km",900 km,21,17.07 billion kWh,14.16 billion kWh,262 million kWh,0 kWh,9.058 million kW,83% of total installed capacity,0% of total installed capacity,17% of total installed capacity,0% of total installed capacity,"14,000 bbl/day",0 bbl/day,"87,660 bbl/day",2.5 billion bbl,"111,600 bbl/day","134,000 bbl/day","12,520 bbl/day","38,080 bbl/day",3.738 billion cu m,3.738 billion cu m,0 cu m,0 cu m,240.7 billion cu m,"2,726,193",15.65 million,"5,476,850"
Switzerland,"41,277 sq km","8,292,809",0.68%,"10.5 births/1,000 population","8.4 deaths/1,000 population","4.7 migrant(s)/1,000 population","5 deaths/100,000 live births","3.6 deaths/1,000 live births",82.7 years,1.56 children born/woman,11.7% of GDP,-,-,-,19.50%,-,5.1% of GDP,8.10%,0.9875,Swiss francs (CHF) per US dollar -,$523.1 billion,1.70%,"$62,100 ",33.8% of GDP,3.40%,5.159 million,3.20%,29.5,35.7% (of GDP),1.1% (of GDP),41.8% of GDP,0.50%,0.50%,2.60%,$621.8 billion,$621.8 billion,$1.253 trillion,$1.519 trillion,$66.55 billion,$313.5 billion,"Germany 15.2%, US 12.3%, China 8.2%, India 6.7%, France 5.7%, UK 5.7%, Hong Kong 5.4%, Italy 5.3%(2017)","machinery, chemicals, metals, watches, agricultural products",$264.5 billion,"Germany 20.9%, US 7.9%, Italy 7.6%, UK 7.3%, France 6.8%, China 5%(2017)","machinery, chemicals, vehicles, metals; agricultural products, textiles",$811.2 billion,$1.664 trillion,$1.489 trillion,$1.701 trillion,0.71% of GDP,63,"5,652 km","71,464 km","1,292 km",51,59.01 billion kWh,58.46 billion kWh,30.17 billion kWh,34.1 billion kWh,20.84 million kW,3% of total installed capacity,18% of total installed capacity,67% of total installed capacity,13% of total installed capacity,0 bbl/day,0 bbl/day,"57,400 bbl/day",0 bbl,"61,550 bbl/day","223,900 bbl/day","7,345 bbl/day","165,100 bbl/day",0 cu m,3.709 billion cu m,0 cu m,3.681 billion cu m,-,"3,672,500",11.292 million,"7,312,744"
Saint Barthelemy,25 sq km,"7,160",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.885,2013 est.),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,"5,128 sq km","1,215,527",-0.23%,"12.3 births/1,000 population","8.9 deaths/1,000 population","-5.9 migrant(s)/1,000 population","63 deaths/100,000 live births","21.6 deaths/1,000 live births",73.4 years,1.7 children born/woman,5.9% of GDP,1.10%,"11,000",-,18.60%,5.50%,-,7.10%,6.78,Trinidad and Tobago dollars (TTD) per US dollar -,$42.85 billion,-2.60%,"$31,300 ",26.4% of GDP,-4.30%,"629,400",4.90%,-,24.5% (of GDP),-8.2% (of GDP),41.8% of GDP,1.90%,6.75%,9%,$7.247 billion,$7.247 billion,$10.55 billion,$177.4 million,$2.325 billion,$9.927 billion,"US 34.8%, Argentina 9%(2017)","petroleum and petroleum products, liquefied natural gas, methanol, ammonia, urea, steel products, beverages, cereal and cereal products, cocoa, fish, preserved fruits, cosmetics, household cleaners, plastic packaging",$6.105 billion,"US 23.8%, Russia 15.3%, Colombia 11.1%, Gabon 10.5%, China 7.3%(2017)","mineral fuels, lubricants, machinery, transportation equipment, manufactured goods, food, chemicals, live animals",$8.892 billion,$8.238 billion,$382.9 million,$1.266 billion,1.12% of GDP,4,-,"9,592 km",-,105,10.07 billion kWh,9.867 billion kWh,0 kWh,0 kWh,2.608 million kW,100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,"36,620 bbl/day","31,030 bbl/day","80,860 bbl/day",243 million bbl,"134,700 bbl/day","51,000 bbl/day","106,100 bbl/day",0 bbl/day,36.73 billion cu m,21.24 billion cu m,15.49 billion cu m,0 cu m,447.4 billion cu m,"257,445","2,030,637","846,000"
Thailand,"513,120 sq km","68,615,858",0.29%,"11 births/1,000 population","8.1 deaths/1,000 population","0 migrant(s)/1,000 population","20 deaths/100,000 live births","9 deaths/1,000 live births",75.1 years,1.52 children born/woman,6.5% of GDP,1.10%,"440,000","15,000",10%,6.70%,4.1% of GDP,3.70%,34.34,baht per US dollar -,$1.236 trillion,3.90%,"$17,900 ",34.1% of GDP,1.60%,38.37 million,0.70%,44.5,15.2% (of GDP),-3.5% (of GDP),41.9% of GDP,0.70%,1.50%,4.42%,$62.39 billion,$62.39 billion,$584.9 billion,$348.8 billion,$51.08 billion,$235.1 billion,"China 12.4%, US 11.2%, Japan 9.5%, Hong Kong 5.2%, Vietnam 4.9%, Australia 4.5%, Malaysia 4.4%(2017)","automobiles and parts, computer and parts, jewelry and precious stones, polymers of ethylene in primary forms, refine fuels, electronic integrated circuits, chemical products, rice, fish products, rubber products, sugar, cassava, poultry, machinery and parts, iron and steel and their products",$203.2 billion,"China 20%, Japan 14.5%, US 6.8%, Malaysia 5.4%(2017)","machinery and parts, crude oil, electrical machinery and parts, chemicals, iron & steel and product, electronic integrated circuit, automobile’s parts, jewelry including silver bars and gold, computers and parts, electrical household appliances, soybean, soybean meal, wheat, cotton, dairy products",$202.6 billion,$132 billion,$227.8 billion,$117.4 billion,1.5% of GDP,101,"4,127 km","180,053 km","4,000 km",781,181.5 billion kWh,187.7 billion kWh,2.267 billion kWh,19.83 billion kWh,44.89 million kW,76% of total installed capacity,0% of total installed capacity,8% of total installed capacity,16% of total installed capacity,"239,700 bbl/day",790 bbl/day,"875,400 bbl/day",349.4 million bbl,1.328 million bbl/day,1.326 million bbl/day,"278,300 bbl/day","134,200 bbl/day",38.59 billion cu m,52.64 billion cu m,0 cu m,14.41 billion cu m,193.4 billion cu m,2.91 million,121.53 million,"32,398,778"
